code,system
1008541000000105,snomedct
1029481000000103,snomedct
120814005,snomedct
1240401000000105,snomedct
1240391000000107,snomedct
1240421000000101,snomedct
1240521000000100,snomedct
1240531000000103,snomedct
1240541000000107,snomedct
1240551000000105,snomedct
1240561000000108,snomedct
1240571000000101,snomedct
1240741000000103,snomedct
1240751000000100,snomedct
1321241000000105,snomedct
1240511000000106,snomedct
1240581000000104,snomedct
1300631000000101,snomedct
1300671000000104,snomedct
1300681000000102,snomedct
1300721000000109,snomedct
1300731000000106,snomedct
1321181000000108,snomedct
1321191000000105,snomedct
1321201000000107,snomedct
1321301000000101,snomedct
1321311000000104,snomedct
1321321000000105,snomedct
1321331000000107,snomedct
1321341000000103,snomedct
1321351000000100,snomedct
1321541000000108,snomedct
1321551000000106,snomedct
1321761000000103,snomedct
1322781000000102,snomedct
1322871000000109,snomedct
186747009,snomedct
U071,icd10
U072,icd10
